ID,Character,English,English_IPA,Anzellan,Anzellan_IPA,Mixed_25,Mixed_25_IPA,Mixed_50,Mixed_50_IPA,Mixed_75,Mixed_75_IPA
jibu_power_flip,Jibu,Found you!,ˈfaund ˈiu!,Ga-no e!,ˈɡano e!,Ga-no you!,ˈɡano ˈiu!,Ga-no found!,ˈɡano ˈfaund!,Gano you found!,ˈɡano ˈiu ˈfaund!
jibu_excited,Jibu,Jibu like! Jibu always excited!,ˈdʒibu ˈlaik! ˈdʒibu ˈolwei̯s ikˈsaitad!,Jibu miga ipo! Jibu udmo ixa!,ˈdʒibu ˈmiɡa ˈipo! ˈdʒibu ˈudmo ˈiʃa!,Jibu miga udmo! Like!,ˈdʒibu ˈmiɡa ˈudmo! ˈlaik!,Jibu miga! Always excited!,ˈdʒibu ˈmiɡa! ˈolwei̯s ikˈsaitad!,Jibu! always excited!,ˈdʒibu! ˈolwei̯s ikˈsaitad!
jibu_power_gotit,Jibu,Easy peasy!,ˈisi ˈpisi!,Abobo!,ˈabobo!,Abobo! easy!,ˈabobo! ˈisi!,Abobo! easy!,ˈabobo! ˈisi!,Abobo! easy peasy!,ˈabobo! ˈisi ˈpisi!
jibu_sad_power,Jibu,Poodoo!,ˈpudu!,Nie xi!,nie̯ ʃi!,Nie ixena! Poodoo!,nie̯ ˈiʃena! ˈpudu!,Nie! Poodoo!,nie̯! ˈpudu!,Nie ixena! poo-doo!,nie̯ ˈiʃena! ˈpudu!
jibu_data_warning,Jibu,Bingo!,ˈbinɡo!,tabu ete,ˈtabu ˈete,Nadixe! Bingo!,ˈnadiʃe! ˈbinɡo!,Nadixe! Bingo!,ˈnadiʃe! ˈbinɡo!,Ba li! Bingo!,ba li! ˈbinɡo!
jibu_power_warning,Jibu,There it is!,ˈdee it is!,Ked-ba ipo,ˈkedba ˈipo,Ked-ba here it,ˈkedba ˈhii it,Ked ipo! There it!,ked ˈipo! ˈdee it!,Ked-ba there it!,ˈkedba ˈdee it!
jibu_swivels_data,Jibu,I've got an idea!,ˈaiv ɡat an aˈidia!,Buma mi bana!,ˈbuma mi ˈbana!,Buma mi bana idea!,ˈbuma mi ˈbana aˈidia!,Buma mi idea!,ˈbuma mi aˈidia!,Buma idea good!,ˈbuma ˈaidia ɡud!
jibu_fan_dial_1,Jibu,That should be better.,dat ʃud bi ˈbete.,Ked-boa ixena,ˈkedboa ˈiʃena,Ixena good!,ˈiʃena ɡud!,Ixena! Much better!,ˈiʃena! matʃ ˈbete!,Ixenudu all better!,iˈʃenudu ol ˈbete!
jibu_fan_dial_2,Jibu,Okay okay. Fixing!,ˈokei̯ ˈokei̯. ˈfiksin!,Nadixe nadixe. Moga-mo!,ˈnadiʃe ˈnadiʃe. ˈmoɡamo!,Aaxe aaxe. Fixing!,ˈaaʃe ˈaaʃe. ˈfiksin!,Ba moga! Okay okay.,ba ˈmoɡa! ˈokei̯ ˈokei̯.,Moga-mo fixing!,ˈmoɡamo ˈfiksin!
jibu_fan_hot_1,Jibu,No hot hot! Fixing!,no hat hat! ˈfiksin!,Nie mumuba! Moga-mo!,nie̯ ˈmumuba! ˈmoɡamo!,Nie muba muba! Fixing!,nie̯ ˈmuba ˈmuba! ˈfiksin!,Nie mumuba! Fixing!,nie̯ ˈmumuba! ˈfiksin!,Nie ba fixing!,nie̯ ba ˈfiksin!
